record_id,forwarder,rate_rmb_per_kg,actual_pure_first_leg_rmb,billed_weight_equivalent_kg,conditional_shipment_weight_upper_g,conditional_transport_volume_upper_cm3,baseline_first_leg_rmb,baseline_billed_weight_equivalent_kg,baseline_vs_actual_pct,record_evidence_level,weight_vs_volume_dominance,transport_volume_estimate,package_dimension_range,numeric_rule_use
CAL-0065,义乌,100,12,0.12,120.0,960.0,9.5,0.095,-20.83,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0066,义乌,100,7,0.07,70.0,560.0,7,0.07,0.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0067,义乌,100,10,0.1,100.0,800.0,14,0.14,40.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0068,义乌,100,12,0.12,120.0,960.0,9,0.09,-25.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0069,义乌,100,3,0.03,30.0,240.0,6.34,0.0634,111.33,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0070,义乌,100,4.75,0.0475,47.5,380.0,5.5,0.055,15.79,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0071,义乌,100,44.2,0.442,442.0,3536.0,68.75,0.6875,55.54,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0072,义乌,100,7.6,0.076,76.0,608.0,4.5,0.045,-40.79,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0073,义乌,100,15.2,0.152,152.0,1216.0,9.98,0.0998,-34.34,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0074,义乌,100,2.85,0.0285,28.5,228.0,7.5,0.075,163.16,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0075,义乌,100,25.2,0.252,252.0,2016.0,12,0.12,-52.38,D,UNRESOLVED,UNRESOLVED,UNRESOLVED,HOLD
CAL-0076,义乌,100,20.7,0.207,207.0,1656.0,20,0.2,-3.38,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0077,义乌,100,18.05,0.1805,180.5,1444.0,216.77,2.1677,1100.94,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0078,义乌,100,18.9,0.189,189.0,1512.0,11,0.11,-41.8,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0079,义乌,100,7.6,0.076,76.0,608.0,6.6,0.066,-13.16,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0080,义乌,100,8.55,0.0855,85.5,684.0,11.25,0.1125,31.58,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0081,义乌,100,8.55,0.0855,85.5,684.0,5,0.05,-41.52,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0082,义乌,100,3.8,0.038,38.0,304.0,7.5,0.075,97.37,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0083,义乌,100,5.7,0.057,57.0,456.0,7,0.07,22.81,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
